accident_chemical_id,facility_accident_chemical_id,facility_accident_id,quantity_released_lbs,percent_weight,chemical_id
1,100000024252_1_1,100000024252_1,39,100,1
2,100000024289_1_1,100000024289_1,24,100,1
3,100000024289_2_1,100000024289_2,20,100,1
4,100000035678_1_1,100000035678_1,75,0.1,1
5,100000035678_2_1,100000035678_2,2,100,1
6,100000143515_1_1,100000143515_1,1,1,1
7,100000143515_2_1,100000143515_2,1,1,1
8,100000150034_1_1,100000150034_1,1000,14,1
9,100000150034_2_1,100000150034_2,100,100,1
10,100000011505_1_1,100000011505_1,100,100,2
11,100000017698_1_1,100000017698_1,1,1,15
12,100000033545_1_1,100000033545_1,1,100,15
13,100000033545_2_1,100000033545_2,1,10,15
14,100000033545_3_1,100000033545_3,1,100,15
15,100000033545_4_1,100000033545_4,1,100,15
16,100000033545_5_1,100000033545_5,16,1.3,15
17,100000046915_1_1,100000046915_1,1,100,15
18,100000046915_2_1,100000046915_2,1,100,15
19,100000048717_1_1,100000048717_1,1,N/A,2
20,100000050044_1_1,100000050044_1,851,100,1
21,100000051926_1_1,100000051926_1,1500,100,1
22,100000052541_1_1,100000052541_1,1164,100,1
23,100000059795_1_1,100000059795_1,2000,100,2
24,100000064235_1_1,100000064235_1,264,0.1,31
25,100000065225_1_1,100000065225_1,494,100,1
26,100000071334_1_1,100000071334_1,1,N/A,26
27,100000080574_1_1,100000080574_1,2,100,7
28,100000080574_2_1,100000080574_2,18,10,2
29,100000081092_1_1,100000081092_1,1,100,21
30,100000083642_1_1,100000083642_1,5,100,2
31,100000099877_1_1,100000099877_1,1,20,1
32,100000099877_2_1,100000099877_2,49,100,1
33,100000099877_3_1,100000099877_3,1,20,1
34,100000100393_1_1,100000100393_1,94,100,2
35,100000100393_2_1,100000100393_2,9,100,2
36,100000103693_1_1,100000103693_1,20933,100,1
37,100000113584_1_1,100000113584_1,100,1,15
38,100000121405_1_1,100000121405_1,9,N/A,2
39,100000138246_1_1,100000138246_1,873,100,1
40,100000144015_1_1,100000144015_1,28,100,2
41,100000145425_1_1,100000145425_1,1,N/A,2
42,100000161086_1_1,100000161086_1,530,N/A,1
43,100000178942_1_1,100000178942_1,15000,29.5,1
44,100000192864_1_1,100000192864_1,32110,100,1
45,100000245825_1_1,100000245825_1,2657,99.9,1
46,100000028668_1_1,100000028668_1,10,100,25
47,100000037783_1_1,100000037783_1,55,50,15
48,100000047558_1_1,100000047558_1,73300,100,69
49,100000047558_2_1,100000047558_2,1,100,2
50,100000052998_1_1,100000052998_1,8,100,1
51,100000054772_1_1,100000054772_1,2,100,1
52,100000063441_1_1,100000063441_1,70,81,4
53,100000063441_1_2,100000063441_1,16,19,12
54,100000064119_1_1,100000064119_1,1000,N/A,1
55,100000064119_2_1,100000064119_2,6000,N/A,1
56,100000092384_1_1,100000092384_1,1,100,45
57,100000101123_1_1,100000101123_1,250,N/A,1
