facility_accident_id,accident_id,facility_id,date_of_accident,time_accident_began,release_duration,naics_code
100000024252_1,Accident 1,100000024252,August 2016,08:30,000 Hours 05 Minutes,31171
100000024289_1,Accident 1,100000024289,September 2022,17:55,000 Hours 03 Minutes,31171
100000024289_2,Accident 2,100000024289,June 2022,12:10,002 Hours 00 Minutes,31171
100000035678_1,Accident 1,100000035678,June 2016,15:01,000 Hours 05 Minutes,31171
100000035678_2,Accident 2,100000035678,May 2015,20:00,000 Hours 20 Minutes,31171
100000143515_1,Accident 1,100000143515,February 2013,23:30,001 Hours 00 Minutes,311712
100000143515_2,Accident 2,100000143515,August 2012,11:00,001 Hours 00 Minutes,311712
100000150034_1,Accident 1,100000150034,February 2004,18:35,000 Hours 05 Minutes,325311
100000150034_2,Accident 2,100000150034,August 1999,01:30,009 Hours 45 Minutes,325311
100000011505_1,Accident 1,100000011505,February 2020,10:55,000 Hours 02 Minutes,42469
100000017698_1,Accident 1,100000017698,August 2018,20:15,000 Hours 05 Minutes,322121
100000033545_1,Accident 1,100000033545,January 2024,04:30,000 Hours 10 Minutes,32211
100000033545_2,Accident 2,100000033545,December 2022,08:30,000 Hours 30 Minutes,32211
100000033545_3,Accident 3,100000033545,October 2019,11:30,000 Hours 10 Minutes,32211
100000033545_4,Accident 4,100000033545,October 2019,18:30,000 Hours 05 Minutes,32211
100000033545_5,Accident 5,100000033545,May 2018,03:05,001 Hours 00 Minutes,32211
100000046915_1,Accident 1,100000046915,August 2010,10:00,000 Hours 21 Minutes,32211
100000046915_2,Accident 2,100000046915,May 2005,15:00,003 Hours 00 Minutes,32211
100000048717_1,Accident 1,100000048717,September 1998,12:00,000 Hours 01 Minutes,22131
100000050044_1,Accident 1,100000050044,April 2021,10:51,000 Hours 20 Minutes,311615
100000051926_1,Accident 1,100000051926,September 2005,00:10,000 Hours 15 Minutes,311615
100000052541_1,Accident 1,100000052541,May 2020,05:20,001 Hours 30 Minutes,311615
100000059795_1,Accident 1,100000059795,March 2018,05:30,004 Hours 00 Minutes,33141
100000064235_1,Accident 1,100000064235,December 2007,02:00,002 Hours 00 Minutes,325199
100000065225_1,Accident 1,100000065225,January 2012,14:55,000 Hours 42 Minutes,311615
100000071334_1,Accident 1,100000071334,December 2004,06:43,000 Hours 01 Minutes,32532
100000080574_1,Accident 1,100000080574,November 2019,08:00,000 Hours 05 Minutes,331315
100000080574_2,Accident 2,100000080574,October 2019,01:00,000 Hours 20 Minutes,331314
100000081092_1,Accident 1,100000081092,February 2019,18:00,015 Hours 20 Minutes,325199
100000083642_1,Accident 1,100000083642,March 2022,09:42,000 Hours 05 Minutes,42469
100000099877_1,Accident 1,100000099877,March 2019,12:00,000 Hours 01 Minutes,325311
100000099877_2,Accident 2,100000099877,August 2018,08:57,000 Hours 05 Minutes,325311
100000099877_3,Accident 3,100000099877,May 2017,10:00,000 Hours 01 Minutes,325311
100000100393_1,Accident 1,100000100393,October 2021,15:31,000 Hours 07 Minutes,32518
100000100393_2,Accident 2,100000100393,August 2020,21:46,000 Hours 39 Minutes,32518
