facility_chemical_id,facility_id,chemical_id,program_level
1,100000013521,1,Program Level 3 process
2,100000023654,1,Program Level 3 process
3,100000024252,1,Program Level 3 process
4,100000024289,1,Program Level 3 process
5,100000035678,1,Program Level 3 process
6,100000046407,1,Program Level 3 process
7,100000052747,1,Program Level 3 process
8,100000052747,1,Program Level 3 process
9,100000054718,1,Program Level 3 process
10,100000054718,1,Program Level 3 process
11,100000057779,1,Program Level 3 process
12,100000061336,2,Program Level 2 process
13,100000069864,3,Program Level 3 process
14,100000069864,4,
15,100000069864,5,
16,100000069864,6,
17,100000079201,2,Program Level 3 process
18,100000083036,4,Program Level 3 process
19,100000090527,7,Program Level 3 process
20,100000090527,2,Program Level 3 process
21,100000097691,8,Program Level 1 process
22,100000113003,1,Program Level 3 process
23,100000128792,2,Program Level 3 process
24,100000142357,3,Program Level 3 process
25,100000142357,9,
26,100000142357,10,
27,100000142357,11,
28,100000142357,4,
29,100000142357,12,
30,100000142357,5,
31,100000142357,6,
32,100000142357,3,Program Level 3 process
33,100000142357,10,
34,100000142357,11,
35,100000142357,4,
36,100000142357,5,
37,100000142357,6,
38,100000142357,13,
39,100000142357,3,Program Level 3 process
40,100000142357,9,
41,100000142357,10,
42,100000142357,11,
43,100000142357,4,
44,100000142357,12,
45,100000142357,5,
46,100000142357,6,
47,100000142357,13,
48,100000142357,3,Program Level 3 process
49,100000142357,10,
50,100000142357,11,
51,100000142357,4,
52,100000142357,12,
53,100000142357,5,
54,100000142357,6,
55,100000142357,3,Program Level 3 process
56,100000142357,9,
57,100000142357,10,
58,100000142357,11,
59,100000142357,4,
60,100000142357,12,
61,100000142357,5,
62,100000142357,6,
63,100000142357,3,Program Level 3 process
64,100000142357,9,
65,100000142357,10,
66,100000142357,11,
67,100000142357,4,
68,100000142357,12,
69,100000142357,5,
70,100000142357,6,
71,100000142357,13,
72,100000142357,3,Program Level 3 process
73,100000142357,9,
74,100000142357,10,
75,100000142357,11,
76,100000142357,4,
77,100000142357,12,
78,100000142357,5,
79,100000142357,6,
80,100000142357,3,Program Level 3 process
81,100000142357,12,
82,100000142357,5,
83,100000142357,6,
84,100000142357,3,Program Level 3 process
85,100000142357,9,
86,100000142357,4,
87,100000142357,12,
88,100000142357,5,
89,100000142357,6,
90,100000142357,3,Program Level 3 process
91,100000142357,10,
92,100000142357,11,
93,100000142357,4,
94,100000142357,5,
95,100000142357,6,
96,100000142357,13,
97,100000143515,1,Program Level 3 process
98,100000148592,1,Program Level 3 process
99,100000150034,1,Program Level 3 process
100,100000150034,2,Program Level 3 process
101,100000150034,10,Program Level 3 process
102,100000150034,13,Program Level 3 process
103,100000152201,1,Program Level 3 process
104,100000156724,1,Program Level 3 process
105,100000160504,1,Program Level 3 process
106,100000162691,1,Program Level 3 process
107,100000165849,1,Program Level 3 process
108,100000171574,1,Program Level 3 process
109,100000173974,1,Program Level 3 process
110,100000176132,1,Program Level 3 process
111,100000177471,4,Program Level 1 process
112,100000177471,3,Program Level 1 process
113,100000177471,9,
114,100000177471,10,
115,100000177471,11,
116,100000177471,4,
117,100000177471,12,
118,100000177471,5,
119,100000177471,6,
120,100000181304,1,Program Level 3 process
121,100000182811,1,Program Level 3 process
122,100000185836,1,Program Level 3 process
123,100000194773,2,Program Level 3 process
124,100000197985,2,Program Level 2 process
125,100000207705,1,Program Level 3 process
126,100000208704,1,Program Level 3 process
127,100000208802,1,Program Level 3 process
128,100000209179,1,Program Level 3 process
129,100000211996,4,Program Level 1 process
130,100000211996,3,Program Level 1 process
131,100000211996,9,
132,100000211996,10,
133,100000211996,11,
134,100000211996,4,
135,100000211996,12,
136,100000211996,5,
137,100000211996,6,
138,100000212003,4,Program Level 1 process
139,100000212003,3,Program Level 1 process
140,100000212003,9,
141,100000212003,10,
142,100000212003,11,
143,100000212003,4,
144,100000212003,12,
145,100000212003,5,
146,100000212003,6,
147,100000212147,1,Program Level 3 process
148,100000212888,3,Program Level 1 process
149,100000212888,9,
150,100000212888,11,
151,100000212888,4,
152,100000212888,12,
153,100000212888,5,
154,100000217598,1,Program Level 3 process
155,100000217712,1,Program Level 3 process
156,100000218052,1,Program Level 3 process
157,100000218123,1,Program Level 3 process
158,100000218702,1,Program Level 2 process
159,100000219051,1,Program Level 2 process
160,100000221887,1,Program Level 3 process
161,100000225151,1,Program Level 3 process
162,100000225437,1,Program Level 3 process
163,100000227275,1,Program Level 3 process
164,100000229326,4,Program Level 1 process
165,100000231297,10,Program Level 1 process
166,100000231466,1,Program Level 1 process
167,100000233348,3,Program Level 1 process
168,100000233348,9,
169,100000233348,11,
170,100000233348,4,
171,100000233348,12,
172,100000233348,5,
173,100000233348,6,
174,100000237004,1,Program Level 3 process
175,100000238922,1,Program Level 3 process
176,100000241801,3,Program Level 1 process
177,100000241801,9,
178,100000241801,10,
179,100000241801,11,
180,100000241801,4,
181,100000241801,12,
182,100000241801,5,
183,100000241801,6,
184,100000241874,1,Program Level 3 process
185,100000241954,14,Program Level 1 process
186,100000244121,4,Program Level 1 process
187,100000252683,3,Program Level 1 process
188,100000252683,9,
189,100000252683,4,
190,100000252683,12,
191,100000252683,5,
192,100000252683,6,
193,100000252692,3,Program Level 1 process
194,100000252692,9,
195,100000252692,4,
196,100000252692,12,
197,100000252692,5,
198,100000252692,6,
199,100000252709,4,Program Level 3 process
200,100000252718,4,Program Level 3 process
201,100000006334,2,Program Level 2 process
202,100000006352,7,Program Level 2 process
203,100000006352,2,Program Level 2 process
204,100000006414,2,Program Level 2 process
205,100000006799,2,Program Level 2 process
206,100000006986,7,Program Level 3 process
207,100000006986,2,Program Level 3 process
208,100000007002,2,Program Level 3 process
209,100000007182,3,Program Level 1 process
210,100000007182,4,
211,100000008706,7,Program Level 3 process
212,100000008706,2,Program Level 3 process
213,100000008751,2,Program Level 2 process
214,100000011505,7,Program Level 3 process
215,100000011505,2,Program Level 3 process
216,100000013479,7,Program Level 3 process
217,100000013479,2,Program Level 3 process
218,100000017698,15,Program Level 3 process
219,100000020648,4,Program Level 2 process
220,100000021282,2,Program Level 2 process
221,100000022487,2,Program Level 2 process
222,100000025563,2,Program Level 2 process
223,100000025616,2,Program Level 2 process
224,100000026278,16,Program Level 3 process
225,100000026438,17,Program Level 2 process
226,100000028837,7,Program Level 2 process
