facility_naics_id,facility_id,naics_code
1,100000013521,31171
2,100000023654,31171
3,100000024252,31171
4,100000024289,31171
5,100000035678,31171
6,100000046407,31171
7,100000052747,31171
8,100000054718,31171
9,100000057779,31171
10,100000061336,22131
11,100000069864,32411
12,100000079201,42269
13,100000083036,21113
14,100000090527,42269
15,100000097691,21222
16,100000113003,31171
17,100000128792,22132
18,100000142357,32411
19,100000143515,31171
20,100000148592,31171
21,100000150034,325311
22,100000152201,31171
23,100000156724,311712
24,100000160504,311712
25,100000162691,311712
26,100000165849,31171
27,100000171574,311712
28,100000173974,31171
29,100000176132,31171
30,100000177471,21112
31,100000181304,31171
32,100000182811,31171
33,100000185836,31171
34,100000194773,22131
35,100000197985,49319
36,100000207705,31171
37,100000208704,31171
38,100000208802,31171
39,100000209179,31171
40,100000211996,21111
41,100000212003,21111
42,100000212147,31171
43,100000212888,32411
44,100000217598,31171
45,100000217712,31171
46,100000218052,31171
47,100000218123,31171
48,100000218702,42469
49,100000219051,221112
50,100000221887,31171
51,100000225151,31171
52,100000225437,31171
53,100000227275,31171
54,100000229326,45431
55,100000231297,21113
56,100000231466,22111
57,100000233348,32411
58,100000237004,42441
59,100000238922,31171
60,100000241801,21111
61,100000241874,31171
62,100000241954,32512
63,100000244121,21111
64,100000252683,21112
65,100000252692,21112
66,100000252709,42471
67,100000252718,42471
68,100000006334,22131
69,100000006352,22132
70,100000006414,22131
71,100000006799,22131
72,100000006986,22132
73,100000007002,22131
74,100000007182,211112
75,100000008706,42469
76,100000008751,22131
77,100000011505,42469
78,100000013479,42469
79,100000017698,322121
80,100000020648,54171
81,100000021282,22131
82,100000022487,22131
83,100000025563,22131
84,100000025616,22131
85,100000026278,32551
86,100000026438,42469
87,100000028837,22132
88,100000029113,22132
89,100000029355,49312
90,100000029747,22132
91,100000030192,22131
92,100000030361,22131
93,100000030389,22131
94,100000030398,22131
95,100000030414,22132
96,100000030824,22131
97,100000030833,22131
98,100000031397,49312
99,100000032001,22131
100,100000032056,22131
101,100000032261,22131
102,100000032289,22131
103,100000032332,22131
104,100000032975,22131
105,100000033493,325221
106,100000033545,32211
107,100000033652,311612
108,100000033894,22132
109,100000035375,22132
110,100000035482,22132
111,100000036169,22131
112,100000036472,325199
113,100000037113,325199
114,100000037701,32212
115,100000037774,32512
116,100000039193,22131
117,100000039709,331314
118,100000041698,22131
119,100000044105,42469
120,100000044132,42269
121,100000044506,22131
122,100000044828,49319
123,100000044828,92811
124,100000046791,42469
125,100000046915,32211
126,100000046915,22131
127,100000048691,22131
128,100000048717,22131
129,100000048977,311812
130,100000049173,337214
131,100000049921,32411
132,100000050044,311615
133,100000050375,32213
134,100000050776,325211
135,100000050776,32518
136,100000050794,22132
137,100000051926,311615
138,100000052417,92711
139,100000052435,325311
