naics_code,naics_description
31171,Seafood Product Preparation and Packaging
22131,Water Supply and Irrigation Systems
32411,Petroleum Refineries
42269,Other Chemical and Allied Products Wholesalers
21113,Natural Gas Extraction
21222,Gold Ore and Silver Ore Mining
22132,Sewage Treatment Facilities
311712,Fresh and Frozen Seafood Processing
325311,Nitrogenous Fertilizer Manufacturing
21112,Crude Petroleum Extraction
49319,Other Warehousing and Storage
21111,Oil and Gas Extraction
42469,Other Chemical and Allied Products Merchant Wholesalers
221112,Fossil Fuel Electric Power Generation
45431,Fuel Dealers
22111,Electric Power Generation
42441,General Line Grocery Merchant Wholesalers
32512,Industrial Gas Manufacturing
42471,Petroleum Bulk Stations and Terminals
211112,Natural Gas Liquid Extraction
322121,Paper (except Newsprint) Mills
54171,"Research and Development in the Physical, Engineering, and Life Sciences"
32551,Paint and Coating Manufacturing
49312,Refrigerated Warehousing and Storage
325221,Cellulosic Organic Fiber Manufacturing
32211,Pulp Mills
311612,Meat Processed from Carcasses
325199,All Other Basic Organic Chemical Manufacturing
32212,Paper Mills
331314,Secondary Smelting and Alloying of Aluminum
92811,National Security
311812,Commercial Bakeries
337214,Office Furniture (except Wood) Manufacturing
311615,Poultry Processing
32213,Paperboard Mills
325211,Plastics Material and Resin Manufacturing
32518,Other Basic Inorganic Chemical Manufacturing
92711,Space Research and Technology
56292,Materials Recovery Facilities
562112,Hazardous Waste Collection
31152,Ice Cream and Frozen Dessert Manufacturing
33141,Nonferrous Metal (except Aluminum)
311999,All Other Miscellaneous Food Manufacturing
326299,All Other Rubber Product Manufacturing
11239,Other Poultry Production
327215,Glass Product Manufacturing Made of Purchased Glass
32532,Pesticide and Other Agricultural Chemical Manufacturing
327992,Ground or Treated Mineral and Earth Manufacturing
314992,Tire Cord and Tire Fabric Mills
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
33281,"Coating, Engraving, Heat Treating, and Allied Activities"
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
325212,Synthetic Rubber Manufacturing
325181,Alkalies and Chlorine Manufacturing
32614,Polystyrene Foam Product Manufacturing
326199,All Other Plastics Product Manufacturing
33251,Hardware Manufacturing
32619,Other Plastics Product Manufacturing
211111,Crude Petroleum and Natural Gas Extraction
325314,Fertilizer (Mixing Only) Manufacturing
32519,Other Basic Organic Chemical Manufacturing
42491,Farm Supplies Merchant Wholesalers
32522,Artificial and Synthetic Fibers and Filaments Manufacturing
32511,Petrochemical Manufacturing
42291,Farm Supplies Wholesalers
454319,Other Fuel Dealers
482111,Line-Haul Railroads
311225,Fats and Oils Refining and Blending
31181,Bread and Bakery Product Manufacturing
312113,Ice Manufacturing
44511,Supermarkets and Other Grocery Retailers (except Convenience Retailers)
33636,Motor Vehicle Seating and Interior Trim Manufacturing
33111,Iron and Steel Mills and Ferroalloy Manufacturing
311511,Fluid Milk Manufacturing
312111,Soft Drink Manufacturing
311991,Perishable Prepared Food Manufacturing
32599,All Other Chemical Product and Preparation Manufacturing
49311,General Warehousing and Storage
11251,Aquaculture
54133,Engineering Services
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
31151,Dairy Product (except Frozen) Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
325412,Pharmaceutical Preparation Manufacturing
115112,"Soil Preparation, Planting, and Cultivating"
339991,"Gasket, Packing, and Sealing Device Manufacturing"
92411,Administration of Air and Water Resource and Solid Waste Management Programs
311513,Cheese Manufacturing
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311611,Animal (except Poultry) Slaughtering
212291,Uranium-Radium-Vanadium Ore Mining
11232,Broilers and Other Meat Type Chicken Production
31183,Tortilla Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
562211,Hazardous Waste Treatment and Disposal
339999,All Other Miscellaneous Manufacturing
332116,Metal Stamping
311412,Frozen Specialty Food Manufacturing
325192,Cyclic Crude and Intermediate Manufacturing
325188,All Other Basic Inorganic Chemical Manufacturing
332811,Metal Heat Treating
326121,Unlaminated Plastics Profile Shape Manufacturing
48691,Pipeline Transportation of Refined Petroleum Products
562219,Other Nonhazardous Waste Treatment and Disposal
33131,Alumina and Aluminum Production and Processing
32561,Soap and Cleaning Compound Manufacturing
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
311422,Specialty Canning
48422,"Specialized Freight (except Used Goods) Trucking, Local"
42271,Petroleum Bulk Stations and Terminals
31161,Animal Slaughtering and Processing
31111,Animal Food Manufacturing
31199,All Other Food Manufacturing
311111,Dog and Cat Food Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
311711,Seafood Canning
331521,Aluminum Die-Casting Foundries
56179,Other Services to Buildings and Dwellings
49313,Farm Product Warehousing and Storage
213114,Support Activities for Metal Mining
71399,All Other Amusement and Recreation Industries
334412,Bare Printed Circuit Board Manufacturing
21223,"Copper, Nickel, Lead, and Zinc Mining"
325312,Phosphatic Fertilizer Manufacturing
115114,Postharvest Crop Activities (except Cotton Ginning)
81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
212234,Copper Ore and Nickel Ore Mining
33441,Semiconductor and Other Electronic Component Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
32742,Gypsum Product Manufacturing
11511,Support Activities for Crop Production
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
42241,General Line Grocery Wholesalers
11192,Cotton Farming
541513,Computer Facilities Management Services
325193,Ethyl Alcohol Manufacturing
334413,Semiconductor and Related Device Manufacturing
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
54199,"All Other Professional, Scientific, and Technical Services"
48821,Support Activities for Rail Transportation
48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
62322,Residential Mental Health and Substance Abuse Facilities
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers
212299,All Other Metal Ore Mining
31213,Wineries
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
42272,Petroleum and Petroleum Products Wholesalers (Except Bulk Stations and Terminals)
