EPA Facility ID,Has Accident,Accident Count,Accident Details
1E+11,Yes,1,"[{'Date of Accident': 'August 2016', 'NAICS Code of Process Involved': '31171'}]"
1E+11,Yes,2,"[{'Date of Accident': 'September 2022', 'NAICS Code of Process Involved': '31171'}, {'Date of Accident': 'June 2022', 'NAICS Code of Process Involved': '31171'}]"
1E+11,Yes,2,"[{'Date of Accident': 'June 2016', 'NAICS Code of Process Involved': '31171'}, {'Date of Accident': 'May 2015', 'NAICS Code of Process Involved': '31171'}]"
1E+11,Yes,2,"[{'Date of Accident': 'February 2013', 'NAICS Code of Process Involved': '311712'}, {'Date of Accident': 'August 2012', 'NAICS Code of Process Involved': '311712'}]"
1E+11,Yes,2,"[{'Date of Accident': 'February 2004', 'NAICS Code of Process Involved': '325311'}, {'Date of Accident': 'August 1999', 'NAICS Code of Process Involved': '325311'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2020', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '322121'}]"
1E+11,Yes,5,"[{'Date of Accident': 'January 2024', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'May 2018', 'NAICS Code of Process Involved': '32211'}]"
1E+11,Yes,2,"[{'Date of Accident': 'August 2010', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'May 2005', 'NAICS Code of Process Involved': '32211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 1998', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2021', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2005', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2020', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2018', 'NAICS Code of Process Involved': '33141'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2007', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2012', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2004', 'NAICS Code of Process Involved': '32532'}]"
1E+11,Yes,2,"[{'Date of Accident': 'November 2019', 'NAICS Code of Process Involved': '331315'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '331314'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2019', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2022', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,3,"[{'Date of Accident': 'March 2019', 'NAICS Code of Process Involved': '325311'}, {'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '325311'}, {'Date of Accident': 'May 2017', 'NAICS Code of Process Involved': '325311'}]"
1E+11,Yes,2,"[{'Date of Accident': 'October 2021', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'August 2020', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2018', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2021', 'NAICS Code of Process Involved': '322121'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 1999', 'NAICS Code of Process Involved': '32619'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2015', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2022', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 1995', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 1999', 'NAICS Code of Process Involved': '311812'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2011', 'NAICS Code of Process Involved': '221112'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2010', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2019', 'NAICS Code of Process Involved': '31151'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2005', 'NAICS Code of Process Involved': '339991'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2022', 'NAICS Code of Process Involved': '32213'}]"
1E+11,Yes,2,"[{'Date of Accident': 'May 2021', 'NAICS Code of Process Involved': '32519'}, {'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '32519'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2023', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2019', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2007', 'NAICS Code of Process Involved': '339999'}]"
1E+11,Yes,2,"[{'Date of Accident': 'September 1998', 'NAICS Code of Process Involved': '311612'}, {'Date of Accident': 'September 1996', 'NAICS Code of Process Involved': '311612'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2023', 'NAICS Code of Process Involved': '32518'}]"
