EPA Facility ID,Has Accident,Accident Count,NAICS Code,Accident Details
100000013521,No,0,,
100000023654,No,0,,
100000024252,Yes,1,,"[{'Date of Accident': 'August 2016', 'NAICS Code of Process Involved': '31171'}]"
100000024289,Yes,2,,"[{'Date of Accident': 'September 2022', 'NAICS Code of Process Involved': '31171'}, {'Date of Accident': 'June 2022', 'NAICS Code of Process Involved': '31171'}]"
100000035678,Yes,2,,"[{'Date of Accident': 'June 2016', 'NAICS Code of Process Involved': '31171'}, {'Date of Accident': 'May 2015', 'NAICS Code of Process Involved': '31171'}]"
100000046407,No,0,,
100000052747,No,0,,
100000054718,No,0,,
100000057779,No,0,,
100000061336,No,0,,
100000069864,No,0,,
100000079201,No,0,,
100000083036,No,0,,
100000090527,No,0,,
100000097691,No,0,,
100000113003,No,0,,
100000128792,No,0,,
100000142357,No,0,,
100000143515,Yes,2,,"[{'Date of Accident': 'February 2013', 'NAICS Code of Process Involved': '311712'}, {'Date of Accident': 'August 2012', 'NAICS Code of Process Involved': '311712'}]"
100000148592,No,0,,
100000150034,Yes,2,,"[{'Date of Accident': 'February 2004', 'NAICS Code of Process Involved': '325311'}, {'Date of Accident': 'August 1999', 'NAICS Code of Process Involved': '325311'}]"
100000152201,No,0,,
100000156724,No,0,,
100000160504,No,0,,
100000162691,No,0,,
100000165849,No,0,,
100000171574,No,0,,
100000173974,No,0,,
100000176132,No,0,,
100000177471,No,0,,
100000181304,No,0,,
100000182811,No,0,,
100000185836,No,0,,
100000194773,No,0,,
100000197985,No,0,,
100000207705,No,0,,
100000208704,No,0,,
100000208802,No,0,,
100000209179,No,0,,
100000211996,No,0,,
100000212003,No,0,,
100000212147,No,0,,
100000212888,No,0,32411,
100000217598,No,0,,
100000217712,No,0,,
100000218052,No,0,,
100000218123,No,0,,
100000218702,No,0,,
100000219051,No,0,,
100000221887,No,0,,
100000225151,No,0,,
100000225437,No,0,,
100000227275,No,0,,
100000229326,No,0,,
100000231297,No,0,,
100000231466,No,0,,
100000233348,No,0,32411,
100000237004,No,0,,
100000238922,No,0,,
100000241801,No,0,21111,
100000241874,No,0,,
100000241954,No,0,,
100000244121,No,0,,
100000252683,No,0,21112,
100000252692,No,0,21112,
100000252709,No,0,,
100000252718,No,0,,
100000006334,No,0,,
100000006352,No,0,,
100000006414,No,0,,
100000006799,No,0,,
100000006986,No,0,,
100000007002,No,0,,
100000007182,No,0,,
100000008706,No,0,,
100000008751,No,0,,
100000011505,Yes,1,,"[{'Date of Accident': 'February 2020', 'NAICS Code of Process Involved': '42469'}]"
100000013479,No,0,,
100000017698,Yes,1,,"[{'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '322121'}]"
100000020648,No,0,,
100000021282,No,0,,
100000022487,No,0,,
100000025563,No,0,,
100000025616,No,0,,
100000026278,No,0,,
100000026438,No,0,,
100000028837,No,0,,
100000029113,No,0,,
100000029355,No,0,,
100000029747,No,0,,
100000030192,No,0,,
100000030361,No,0,,
100000030389,No,0,,
100000030398,No,0,,
100000030414,No,0,,
100000030824,No,0,,
100000030833,No,0,,
100000031397,No,0,,
100000032001,No,0,,
100000032056,No,0,,
100000032261,No,0,,
100000032289,No,0,,
100000032332,No,0,,
100000032975,No,0,,
100000033493,No,0,,
100000033545,Yes,5,,"[{'Date of Accident': 'January 2024', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'May 2018', 'NAICS Code of Process Involved': '32211'}]"
100000033652,No,0,,
100000033894,No,0,,
100000035375,No,0,,
100000035482,No,0,,
100000036169,No,0,,
100000036472,No,0,325199,
100000037113,No,0,,
100000037701,No,0,,
100000037774,No,0,,
100000039193,No,0,,
100000039709,No,0,,
100000041698,No,0,,
100000044105,No,0,,
100000044132,No,0,,
100000044506,No,0,,
100000044828,No,0,,
100000046791,No,0,,
