EPA Facility ID,Has Accident,Accident Count,Accident History ID,Date of Accident,Time Accident Began,NAICS Code of Process Involved,NAICS Description,Release Duration (Hours),Release Duration (Minutes),Gas Release,Liquid Spill/Evaporation,Fire,Explosion,Uncontrolled/Runaway Reaction,Storage Vessel,Piping,Process Vessel,Transfer Hose,Valve,Pump,Joint,Other Release Source,Wind Speed,Wind Speed Units,Wind Direction,Temperature,Atmospheric Stability Class,Precipitation Present,Unknown Weather Conditions,Employee/Contractor Deaths,Public Responder Deaths,Public Deaths,Employee/Contractor Injuries,Public Responder Injuries,Public Injuries,On-Site Property Damage ($),Off-Site Deaths,Off-Site Hospitalizations,Off-Site Public Deaths,Off-Site Other Medical Treatments,Evacuated,Sheltered-in-Place,Off-Site Property Damage ($),Fish or Animal Kills,"Tree, Lawn, Shrub, or Crop Damage",Water Contamination,Soil Contamination,Other Environmental Damage,Initiating Event,Contributing - Equipment Failure,Contributing - Human Error,Contributing - Improper Procedures,Contributing - Overpressurization,Contributing - Upset Condition,Contributing - By-Pass Condition,Contributing - Maintenance Activity/Inactivity,Contributing - Process Design Failure,Contributing - Unsuitable Equipment,Contributing - Unusual Weather Condition,Contributing - Management Error,Contributing - Other,Off-Site Responders Notified,Change - Improved/Upgraded Equipment,Change - Revised Maintenance,Change - Revised Training,Change - Revised Operating Procedures,Change - New Process Controls,Change - New Mitigation Systems,Change - Revised Emergency Response Plan,Change - Changed Process,Change - Reduced Inventory,Change - None,Change - Other,Quantity Released (lbs),Percent Weight,Chemical Name,CAS Number,Flammable/Toxic
100000158116,Yes,1,1,Oct-95,21:30,11131,Orange Groves,003,00,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,13,Miles/h,NW,65,F,Yes,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Notified Only,Yes,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,4180,1900,Ammonia (anhydrous),7664-41-7,Toxic
100000024252,Yes,1,1,Aug-16,8:30,31171,Seafood Product Preparation and,000,05,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plate Freezer Flexible Hose Connection,9,Miles/h,N,65,B,N/A,N/A,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Equipment Inspections,39,100,Ammonia (anhydrous),7664-41-7,Toxic
100000024289,Yes,2,1,Sep-22,17:55,31171,Seafood Product Preparation and,000,03,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plate Freezer Hose,16,Miles/h,WSW,56,B,N/A,N/A,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inadequate maintenance,"No, not notified",N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,100,Ammonia (anhydrous),7664-41-7,Toxic
100000024289,Yes,2,2,Jun-22,12:10,31171,Seafood Product Preparation and,002,00,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plate Freezer Hose,8,Miles/h,SW,46,B,N/A,N/A,0,0,0,3,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refresher training,20,100,Ammonia (anhydrous),7664-41-7,Toxic
100000035678,Yes,2,1,Jun-16,15:01,31171,Seafood Product Preparation and,000,05,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,5,Miles/h,S,57,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,0,Ammonia (anhydrous),7664-41-7,Toxic
100000035678,Yes,2,2,May-15,20:00,31171,Seafood Product Preparation and,000,20,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,shaft seal,5,N/A,S,55,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,20,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100,Ammonia (anhydrous),7664-41-7,Toxic
100000143515,Yes,2,1,Feb-13,23:30,311712,Fresh and Frozen Seafood Processing,001,00,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,packing leaking on valve on plate,5,Miles/h,NW,30,N,Yes,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,packing leaking on valve on plate,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,all valves are being inspected,1,1,Ammonia (anhydrous),7664-41-7,Toxic
100000143515,Yes,2,2,Aug-12,11:00,311712,Fresh and Frozen Seafood Processing,001,00,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,5,Knots,NW,35,N,Yes,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,small crack on a weld,,,,,,,,,,,,,,,,,
100000150034,Yes,2,1,Feb-04,18:35,325311,Nitrogenous Fertilizer Manufacturing,000,05,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,15,Miles/h,NE,31,C,N/A,Yes,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000,14,Ammonia (anhydrous),7664-41-7,Toxic
100000150034,Yes,2,2,Aug-99,1:30,325311,Nitrogenous Fertilizer Manufacturing,009,45,Yes,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,"19,500 pound NH3 release",,Miles/h,SSW,,C,Yes,Yes,0,0,0,3,0,0,1000000,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Yes,Yes,N/A,Yes,N/A,Yes,N/A,N/A,Safety meetings were held for all,100,100,Ammonia (anhydrous),7664-41-7,Toxic
