EPA Facility ID,State,Report Received Date,Report Created Date
100000013521,AK,1/1/2022,11/29/2024
100000023654,AK,4/1/2020,11/29/2024
100000024252,AK,3/1/2020,11/29/2024
100000024289,AK,9/1/2022,11/29/2024
100000035678,AK,1/1/2020,11/29/2024
100000046407,AK,5/1/2021,11/29/2024
100000052747,AK,7/1/2020,11/29/2024
100000054718,AK,7/1/2021,11/29/2024
100000057779,AK,7/1/2020,11/29/2024
100000061336,AK,6/1/1999,11/27/2024
100000069864,AK,3/1/2016,11/29/2024
100000079201,AK,6/1/1999,11/29/2024
100000083036,AK,6/1/2024,11/29/2024
100000090527,AK,8/1/2001,11/29/2024
100000097691,AK,6/1/2009,11/29/2024
100000113003,AK,2/1/2023,11/29/2024
100000128792,AK,10/1/2013,11/29/2024
100000142357,AK,9/1/2024,11/29/2024
100000143515,AK,2/1/2020,11/29/2024
100000148592,AK,1/1/2023,11/29/2024
100000150034,AK,8/1/2007,11/29/2024
100000152201,AK,11/1/2023,11/29/2024
100000156724,AK,6/1/2004,11/29/2024
100000160504,AK,3/1/2005,11/29/2024
100000162691,AK,10/1/1999,11/27/2024
100000165849,AK,6/1/2019,11/29/2024
100000171574,AK,10/1/2000,11/27/2024
100000173974,AK,6/1/2023,11/29/2024
100000176132,AK,6/1/2021,11/29/2024
100000177471,AK,10/1/2024,11/29/2024
100000181304,AK,10/1/2022,11/29/2024
100000182811,AK,8/1/2024,11/29/2024
100000185836,AK,9/1/2024,11/29/2024
100000194773,AK,8/1/2020,11/29/2024
100000197985,AK,2/1/2008,11/29/2024
100000207705,AK,4/1/2024,11/29/2024
100000208704,AK,6/1/2022,11/29/2024
100000208802,AK,6/1/2024,11/29/2024
100000209179,AK,7/1/2020,11/29/2024
100000211996,AK,3/1/2024,11/29/2024
100000212003,AK,4/1/2024,11/29/2024
100000212147,AK,2/1/2020,11/29/2024
100000212888,AK,10/1/2020,11/29/2024
100000217598,AK,5/1/2024,11/29/2024
100000217712,AK,4/1/2020,11/29/2024
100000218052,AK,6/1/2020,11/29/2024
100000218123,AK,5/1/2021,11/29/2024
100000218702,AK,11/1/2022,11/29/2024
100000219051,AK,8/1/2022,11/29/2024
100000221887,AK,6/1/2023,11/29/2024
100000225151,AK,3/1/2024,11/29/2024
100000225437,AK,5/1/2021,11/29/2024
100000227275,AK,4/1/2020,11/29/2024
100000229326,AK,5/1/2015,11/29/2024
100000231297,AK,12/1/2020,11/29/2024
100000231466,AK,12/1/2020,11/29/2024
100000233348,AK,11/1/2020,11/29/2024
100000237004,AK,11/1/2022,11/29/2024
100000238922,AK,5/1/2023,11/29/2024
100000241801,AK,4/1/2024,11/29/2024
100000241874,AK,5/1/2024,11/29/2024
100000241954,AK,11/1/2024,11/29/2024
100000244121,AK,4/1/2020,11/29/2024
100000252683,AK,3/1/2024,11/29/2024
100000252692,AK,3/1/2024,11/29/2024
100000252709,AK,2/1/2024,11/29/2024
100000252718,AK,2/1/2024,11/29/2024
100000006334,AL,12/1/2019,11/28/2024
100000006352,AL,6/1/2023,11/28/2024
100000006414,AL,12/1/2019,11/28/2024
100000006799,AL,3/1/2008,11/28/2024
100000006986,AL,1/1/2024,11/28/2024
100000007002,AL,5/1/2004,11/28/2024
100000007182,AL,6/1/2009,11/28/2024
100000008706,AL,5/1/2024,11/28/2024
100000008751,AL,7/1/2006,11/28/2024
100000011505,AL,2/1/2023,11/28/2024
100000013479,AL,1/1/2019,11/28/2024
100000017698,AL,5/1/2019,11/28/2024
100000020648,AL,6/1/1999,11/28/2024
100000021282,AL,1/1/2014,11/28/2024
100000022487,AL,3/1/2013,11/28/2024
100000025563,AL,6/1/2009,11/28/2024
100000025616,AL,11/1/1999,11/28/2024
100000026278,AL,5/1/2024,11/28/2024
100000026438,AL,8/1/2004,11/28/2024
100000028837,AL,2/1/2024,11/28/2024
100000029113,AL,7/1/2021,11/28/2024
100000029355,AL,5/1/2024,11/28/2024
100000029747,AL,1/1/2024,11/28/2024
100000030192,AL,11/1/2006,11/28/2024
100000030361,AL,4/1/2016,11/28/2024
100000030389,AL,11/1/2006,11/28/2024
100000030398,AL,1/1/2024,11/28/2024
100000030414,AL,3/1/2021,11/28/2024
100000030824,AL,5/1/2009,11/28/2024
100000030833,AL,12/1/2013,11/28/2024
100000031397,AL,1/1/2022,11/28/2024
100000032001,AL,11/1/2024,11/28/2024
100000032056,AL,11/1/1999,11/28/2024
100000032261,AL,11/1/2024,11/28/2024
100000032289,AL,11/1/2024,11/28/2024
100000032332,AL,11/1/1999,11/28/2024
100000032975,AL,2/1/2011,11/28/2024
100000033493,AL,6/1/1999,11/28/2024
100000033545,AL,3/1/2020,11/28/2024
100000033652,AL,1/1/2019,11/28/2024
100000033894,AL,4/1/2023,11/28/2024
100000035375,AL,4/1/2023,11/28/2024
100000035482,AL,4/1/2023,11/28/2024
100000036169,AL,4/1/2023,11/28/2024
100000036472,AL,6/1/2020,11/28/2024
100000037113,AL,11/1/2020,11/28/2024
100000037701,AL,4/1/2022,11/28/2024
100000037774,AL,1/1/2024,11/28/2024
100000039193,AL,6/1/1999,11/28/2024
100000039709,AL,6/1/1999,11/28/2024
100000041698,AL,6/1/2004,11/28/2024
100000044105,AL,2/1/2024,11/28/2024
100000044132,AL,11/1/2000,11/28/2024
100000044506,AL,6/1/2004,11/28/2024
100000044828,AL,5/1/2014,11/28/2024
100000046791,AL,5/1/2024,11/28/2024
100000046915,AL,8/1/2010,11/28/2024
100000048691,AL,2/1/2009,11/28/2024
100000048717,AL,6/1/1999,11/28/2024
100000048977,AL,8/1/2018,11/28/2024
100000049173,AL,6/1/1999,11/28/2024
100000049921,AL,1/1/2020,11/28/2024
100000050044,AL,6/1/2024,11/28/2024
100000050375,AL,2/1/2021,11/28/2024
100000050776,AL,6/1/2024,11/28/2024
100000050794,AL,11/1/2020,11/28/2024
100000051926,AL,5/1/2009,11/28/2024
100000052417,AL,6/1/2020,11/28/2024
100000052435,AL,9/1/2006,11/28/2024
100000052541,AL,5/1/2024,11/28/2024
100000052836,AL,6/1/2021,11/28/2024
100000054683,AL,4/1/2024,11/28/2024
100000055049,AL,3/1/2021,11/28/2024
100000055423,AL,6/1/2004,11/28/2024
100000055815,AL,6/1/2004,11/28/2024
100000057591,AL,7/1/2024,11/28/2024
100000058643,AL,11/1/2024,11/28/2024
100000059795,AL,3/1/2019,11/28/2024
100000059802,AL,6/1/2020,11/28/2024
100000059973,AL,6/1/1999,11/28/2024
100000059982,AL,6/1/1999,11/28/2024
100000062068,AL,5/1/2019,11/28/2024
100000062308,AL,8/1/2009,11/28/2024
100000063094,AL,8/1/2023,11/28/2024
100000063799,AL,6/1/2004,11/28/2024
